sample_id	strain	condition	method
P.A2.MFc	A2	fm	pcr
P.A2.MFd	A2	fm	pcr
P.A2.MFe	A2	fm	pcr
P.A2.MFf	A2	fm	pcr
P.A2.MFg	A2	fm	pcr
P.A2.MFh	A2	fm	pcr
P.A2.no3.a	A2	m.no3	pcr
P.A2.no3.b	A2	m.no3	pcr
P.A2.no3.c	A2	m.no3	pcr
P.A2.no3.d	A2	m.no3	pcr
P.A2.no3.e	A2	m.no3	pcr
P.A2.no3.f	A2	m.no3	pcr
P.A2.no3.g	A2	m.no3	pcr
P.A2.no3.h	A2	m.no3	pcr
P.A2.vit.a	A2	m.vit	pcr
P.A2.vit.b	A2	m.vit	pcr
P.A2.vit.c	A2	m.vit	pcr
P.A2.vit.d	A2	m.vit	pcr
P.A2.vit.e	A2	m.vit	pcr
P.A2.vit.f	A2	m.vit	pcr
P.A2.vit.g	A2	m.vit	pcr
P.A2.vit.h	A2	m.vit	pcr
P.A5.MFa	A5	fm	pcr
P.A5.MFb	A5	fm	pcr
P.A5.MFc	A5	fm	pcr
P.A5.MFd	A5	fm	pcr
P.A5.MFe	A5	fm	pcr
P.A5.MFf	A5	fm	pcr
P.A5.MFg	A5	fm	pcr
P.A5.MFh	A5	fm	pcr
P.A5.no3.a	A5	m.no3	pcr
P.A5.no3.b	A5	m.no3	pcr
P.A5.no3.c	A5	m.no3	pcr
P.A5.no3.d	A5	m.no3	pcr
P.A5.no3.e	A5	m.no3	pcr
P.A5.no3.f	A5	m.no3	pcr
P.A5.no3.g	A5	m.no3	pcr
P.A5.no3.h	A5	m.no3	pcr
P.A5.vit.a	A5	m.vit	pcr
P.A5.vit.b	A5	m.vit	pcr
P.A5.vit.c	A5	m.vit	pcr
P.A5.vit.d	A5	m.vit	pcr
P.A5.vit.e	A5	m.vit	pcr
P.A5.vit.f	A5	m.vit	pcr
P.A5.vit.g	A5	m.vit	pcr
P.A5.vit.h	A5	m.vit	pcr
